date,Open,High,Low,Close,Percentage Return
19/08/1997,99.720001,100.620003,98.559998,99.260002,-0.13
26/08/1997,99.150002,99.43,97.959999,99,-0.26
02/09/1997,99.209999,100.230003,98.550003,99.07,0.07
09/09/1997,99.220001,99.290001,97.029999,97.279999,-1.81
16/09/1997,97.32,98.690002,97.239998,98.43,1.18
23/09/1997,98.43,98.720001,96.690002,97.260002,-1.19
30/09/1997,97.260002,97.959999,96.870003,97.120003,-0.14
07/10/1997,97.110001,97.269997,96.230003,96.769997,-0.36
14/10/1997,96.889999,97.690002,96.449997,97.489998,0.74
21/10/1997,97.400002,98.220001,96.849998,97.010002,-0.49
28/10/1997,96.360001,96.620003,94.830002,96.07,-0.97
04/11/1997,95.989998,96.07,94.82,95.199997,-0.91
11/11/1997,95.139999,96.57,94.730003,96.190002,1.04
18/11/1997,96.239998,97.050003,95.989998,96.68,0.51
25/11/1997,96.650002,98.5,96.589996,98.400002,1.78
02/12/1997,98.309998,99.300003,97.910004,99.239998,0.85
09/12/1997,99.07,99.400002,98.050003,98.760002,-0.48
16/12/1997,98.889999,99.220001,97.699997,98.830002,0.07
23/12/1997,98.839996,99.129997,98.389999,99.099998,0.27
30/12/1997,99.110001,101.290001,99.050003,101.059998,1.98
06/01/1998,100.970001,101.68,100.160004,100.93,-0.13
13/01/1998,100.959999,101.129997,100.379997,100.919998,-0.01
20/01/1998,101.089996,101.32,97.669998,99.160004,-1.74
27/01/1998,99.239998,101.040001,98.709999,100.269997,1.12
03/02/1998,100.080002,100.419998,98.510002,99.93,-0.34
10/02/1998,99.879997,100.379997,99.389999,100.160004,0.23
17/02/1998,100.139999,100.650002,99.150002,99.32,-0.84
24/02/1998,99.43,100.360001,99.089996,99.580002,0.26
03/03/1998,99.690002,100.93,99.419998,100.43,0.85
10/03/1998,100.269997,100.900002,99.629997,100.040001,-0.39
17/03/1998,100.050003,100.849998,99.730003,100.349998,0.31
24/03/1998,100.339996,101.389999,99.739998,101.339996,0.99
31/03/1998,101.269997,102.110001,101.209999,101.5,0.16
07/04/1998,101.389999,101.480003,99.879997,100.440002,-1.04
14/04/1998,100.43,100.510002,99.230003,99.739998,-0.70
21/04/1998,99.650002,99.839996,98.959999,99.339996,-0.40
28/04/1998,99.480003,100.010002,99,99.239998,-0.10
05/05/1998,99.190002,99.459999,98.57,99.309998,0.07
12/05/1998,99.300003,100.379997,99.07,100.169998,0.87
19/05/1998,100.099998,100.260002,98.830002,99.080002,-1.09
26/05/1998,99.440002,100.660004,99.330002,100.190002,1.12
02/06/1998,100.239998,100.459999,99.43,100.400002,0.21
09/06/1998,100.449997,102.449997,100.199997,102.239998,1.83
16/06/1998,102.349998,102.379997,99.629997,100.510002,-1.69
23/06/1998,100.449997,101.830002,100.300003,101.639999,1.12
30/06/1998,101.519997,102.139999,100.849998,101.75,0.11
07/07/1998,101.540001,102.669998,101.260002,101.510002,-0.24
14/07/1998,101.449997,101.709999,100.239998,100.470001,-1.02
21/07/1998,100.629997,101.349998,100.440002,101.019997,0.55
28/07/1998,101.099998,101.739998,100.190002,101.650002,0.62
04/08/1998,101.720001,101.720001,100.620003,101.379997,-0.27
11/08/1998,101.529999,102.879997,101.07,102.169998,0.78
18/08/1998,102.230003,102.449997,101.610001,102.029999,-0.14
25/08/1998,101.989998,102.709999,99.699997,100.199997,-1.79
01/09/1998,99.720001,100.129997,97.690002,98.199997,-2.00
08/09/1998,97.809998,99.199997,95.440002,96.800003,-1.43
15/09/1998,96.699997,97.269997,95.919998,96.769997,-0.03
22/09/1998,96.860001,97.25,95.410004,96.120003,-0.67
29/09/1998,96.160004,96.400002,94.440002,94.980003,-1.19
06/10/1998,94.970001,95.239998,90.57,93.790001,-1.25
13/10/1998,93.650002,93.830002,91.650002,92.57,-1.30
20/10/1998,92.610001,94.470001,92.550003,94.389999,1.97
27/10/1998,94.389999,94.449997,93.279999,93.559998,-0.88
03/11/1998,93.599998,95.879997,93.589996,95.610001,2.19
10/11/1998,95.620003,96.459999,94.620003,94.809998,-0.84
17/11/1998,94.949997,96.620003,94.519997,96.32,1.59
24/11/1998,96.43,96.940002,95.959999,96.199997,-0.12
01/12/1998,96.120003,96.139999,94.32,95.239998,-1.00
08/12/1998,95.400002,95.419998,93.190002,93.389999,-1.94
15/12/1998,93.410004,94.610001,93.389999,94.440002,1.12
22/12/1998,94.410004,95.010002,94.309998,94.660004,0.23
29/12/1998,94.669998,94.830002,93.050003,93.440002,-1.29
05/01/1999,93.440002,94.849998,93.080002,94.660004,1.31
12/01/1999,94.589996,95.330002,93.480003,94.720001,0.06
19/01/1999,94.650002,95,94.349998,94.730003,0.01
26/01/1999,94.699997,96.400002,94.510002,96.230003,1.58
02/02/1999,96.239998,96.580002,95.379997,96.010002,-0.23
09/02/1999,96.089996,96.870003,95.889999,96.699997,0.72
16/02/1999,96.769997,99.059998,96.75,98.519997,1.88
23/02/1999,98.57,99.610001,98.139999,99.559998,1.06
02/03/1999,99.559998,100.589996,99.209999,99.690002,0.13
09/03/1999,99.75,99.949997,98.190002,98.889999,-0.80
16/03/1999,99.190002,99.699997,98.160004,98.919998,0.03
23/03/1999,98.970001,100.769997,98.459999,100.360001,1.46
30/03/1999,100.449997,100.800003,99.599998,100.739998,0.38
06/04/1999,100.709999,100.849998,99.43,99.800003,-0.93
13/04/1999,99.889999,100.940002,99.610001,100.57,0.77
20/04/1999,100.489998,101.360001,100.269997,101.019997,0.45
27/04/1999,100.879997,101.279999,100.300003,101.110001,0.09
04/05/1999,101.129997,101.279999,99.349998,99.730003,-1.36
11/05/1999,99.739998,101.080002,99.639999,100.860001,1.13
18/05/1999,100.919998,101.839996,100.550003,101.400002,0.54
25/05/1999,101.290001,102.639999,101,102.510002,1.09
01/06/1999,102.339996,103.349998,101.949997,103.110001,0.59
08/06/1999,103.110001,103.279999,100.870003,102.110001,-0.97
15/06/1999,102.169998,103.190002,101.970001,102.900002,0.77
22/06/1999,102.970001,103.480003,101.970001,102.849998,-0.05
29/06/1999,102.970001,103.919998,102.510002,103.919998,1.04
06/07/1999,103.949997,104.879997,103.599998,104.5,0.56
13/07/1999,104.510002,104.830002,102.739998,102.919998,-1.51
20/07/1999,102.879997,103.18,100.110001,100.57,-2.28
27/07/1999,100.760002,100.989998,99.620003,99.839996,-0.73
03/08/1999,100.019997,100.349998,98.879997,99.980003,0.14
10/08/1999,99.959999,100.790001,99.459999,100.629997,0.65
17/08/1999,100.650002,101.099998,99.440002,100.739998,0.11
